Filename,Meansize(mm)
Run354_Image08275_Crib0526.png,39.25
Run354_Image08276_Crib0527.png,39.99
Run354_Image08276_Crib0528.png,39.71
Run354_Image08277_Crib0529.png,39.36
Run354_Image08277_Crib0530.png,39.82
Run354_Image08278_Crib0531.png,39.62
Run354_Image08278_Crib0532.png,39.83
Run354_Image08279_Crib0533.png,38.92
Run354_Image08279_Crib0534.png,38.74
Run354_Image08280_Crib0535.png,41.16
Run354_Image08280_Crib0536.png,40.14
Run354_Image08281_Crib0537.png,38.84
Run354_Image08281_Crib0538.png,38.97
Run354_Image08282_Crib0539.png,38.07
Run354_Image08282_Crib0540.png,39.89
Run354_Image08283_Crib0541.png,41.04
Run354_Image08283_Crib0542.png,38.72
Run354_Image08284_Crib0543.png,36.43
Run354_Image08284_Crib0544.png,37.55
Run354_Image08286_Crib0546.png,39.62
Run354_Image08286_Crib0547.png,39.24
Run354_Image08287_Crib0548.png,40.05
Run354_Image08287_Crib0549.png,39.43
Run354_Image08287_Crib0550.png,38.74
Run354_Image08288_Crib0551.png,38.81
Run354_Image08289_Crib0552.png,38.65
Run354_Image08289_Crib0553.png,39.08
Run354_Image08290_Crib0554.png,38.89
Run354_Image08290_Crib0555.png,39.91
Run354_Image08291_Crib0556.png,43.28
Run354_Image08291_Crib0557.png,40.90
Run354_Image08292_Crib0558.png,40.85
Run354_Image08292_Crib0559.png,41.07
Run354_Image08293_Crib0560.png,40.76
Run354_Image08293_Crib0561.png,41.29
Run354_Image08294_Crib0562.png,41.20
Run354_Image08294_Crib0563.png,40.97
Run354_Image08295_Crib0564.png,42.93
Run354_Image08295_Crib0565.png,41.27
Run354_Image08296_Crib0566.png,42.45
Run354_Image08296_Crib0567.png,40.79
Run354_Image08297_Crib0568.png,40.94
Run354_Image08297_Crib0569.png,42.00
Run354_Image08298_Crib0570.png,41.00
Run354_Image08298_Crib0571.png,42.20
Run354_Image08299_Crib0572.png,38.42
Run354_Image08299_Crib0573.png,37.72
Run354_Image08300_Crib0574.png,39.05
Run354_Image08300_Crib0575.png,40.20
Run354_Image08301_Crib0576.png,39.10
Run354_Image08301_Crib0577.png,38.33
Run354_Image08302_Crib0578.png,41.05
Run354_Image08303_Crib0580.png,40.94
Run354_Image08303_Crib0581.png,39.97
Run354_Image08304_Crib0582.png,39.20
Run354_Image08304_Crib0583.png,38.96
Run354_Image08305_Crib0584.png,37.76
Run354_Image08305_Crib0585.png,39.11
Run354_Image08306_Crib0586.png,37.62
Run354_Image08306_Crib0587.png,39.36
Run354_Image08307_Crib0588.png,39.38
Run354_Image08307_Crib0589.png,39.59
Run354_Image08308_Crib0590.png,38.88
Run354_Image08308_Crib0591.png,38.95
Run354_Image08309_Crib0592.png,38.35
Run354_Image08309_Crib0593.png,38.22
Run354_Image08310_Crib0594.png,40.53
Run354_Image08310_Crib0595.png,41.12
Run354_Image08311_Crib0596.png,38.34
Run354_Image08311_Crib0597.png,39.56
Run354_Image08312_Crib0598.png,38.37
Run354_Image08312_Crib0599.png,38.88
Run354_Image08313_Crib0600.png,38.30
Run354_Image08313_Crib0601.png,39.62
Run354_Image08314_Crib0602.png,39.03
Run354_Image08314_Crib0603.png,40.40
Run354_Image08315_Crib0604.png,37.80
Run354_Image08316_Crib0605.png,39.45
Run354_Image08316_Crib0606.png,37.84
Run354_Image08317_Crib0607.png,38.71
Run354_Image08317_Crib0608.png,38.28
