crib_0000000_0000000_974_1435.png,crib_0000001_0000002_3651_4090.png,crib_0000031_0000032_63744_64206.png,crib_0000033_0000033_66439_66818.png,crib_0000059_0000059_118708_119155.png,crib_0000206_0000206_413557_413973.png,crib_0004943_0004943_9887118_9887493.png,crib_0009356_0009356_18713198_18713637.png,crib_0020050_0020051_20050688_20051131.png,crib_0020053_0020053_20053341_20053798.png
51.157,33.015,27.115,22.833,55.227,25.71,38.833,18.028,33.634,24
34.176,15.692,30.516,22.003,32.016,23.548,37.014,30.208,35.302,46.098
37.537,21.552,14.422,42.335,22.204,24.546,36.014,17.692,8.016,21.587
41.049,17.241,16.771,13.333,40.872,35.032,53.451,28.636,2,36.056
20.025,14.603,16.378,17.143,39.294,42.644,40.112,16.621,12.01,32.696
15.652,26.575,5,15.015,17,23.691,26,23.049,18,24.352
22.472,19.602,8,17.003,36.003,22.277,58.034,42.723,12.619,34.986
54.129,17.678,15.207,10.382,19.506,39.013,10.77,17.951,9.962,24.083
15.556,21.731,9.823,30.414,12.349,49.239,40.2,10.062,20.893,32.558
14.765,22.847,37.663,14.252,35.784,29.547,17,35.355,19.602,33.377
16.125,32.129,9.179,30.03,45,11.927,23.087,23.005,12,28.636
36.235,15.882,22.006,12.763,21.506,11.511,15.133,48.438,26.443,33.242
36.497,17.614,19.506,21.38,25.495,25.739,71.197,16.919,10.794,26
38.118,10.5,24.885,24.931,43.546,49.064,16.279,13.463,22.771,10.198
8.062,17.671,19.609,15.652,18.901,17.414,21.095,17.357,16.008,8
10.44,10.689,14.637,14.02,26.101,11.927,16,9.124,7.159,42.059
20.591,6.042,28.64,40.734,27.613,19.105,39.051,17.357,33.89,29.069
18.248,10.404,16.07,20.006,27.372,38.082,14.318,22.655,23.436,52.154
57,5.701,23.88,48.747,14,18.581,35,26.043,19.294,56.515
52,5.59,17.755,34.469,25.505,28.779,35.511,22.655,13.73,50.01
35.511,5.385,21.225,17.288,46.543,22.456,23.259,21.471,5.59,25.942
43.081,22.611,32.882,24.23,26.73,20.591,18,31.623,34.234,19.026
22.825,14.983,43.012,20.71,24.52,25.578,54.203,31.504,7.649,60.828
19.925,12.207,34.004,8.769,9.513,28.16,52.393,11.715,11,35.511
11.18,16.194,12.207,25.565,30.676,32.638,28.018,42.406,8.5,25.612
63.071,16.14,24.824,22.003,19.007,27.879,44.181,33.365,20.5,33.242
39.459,16.5,29.833,28.684,25.894,38.513,34.928,26.315,14.116,26
22.804,11,14,38.892,11.402,20.863,18.028,25.71,17.393,48.6
59.506,13.5,28.151,20.044,15.788,40,34.015,30.992,10.92,10.296
59.008,25.831,22.051,20.677,26.249,29.971,37.054,7.159,7.5,21
46.098,15.953,43.105,19.267,22.94,32.962,40.05,6.021,17.088,14.036
15.232,26,36.003,21.232,9.394,35.693,0,5.59,14.318,46
31.305,29.428,45.5,30.35,26.315,27.281,12,31.623,24.749,66.219
32.062,29.833,26.077,8.894,31.784,36.003,12.042,41.437,21.101,46.861
26.019,15.508,22.804,17.789,29.904,19.32,,9.487,21,37.363
44.272,12.748,32.535,16.014,48.26,14.009,,8.201,27.5,34.928
63.198,23.195,10.966,12.293,30.733,34.504,,7,23.049,30.265
25.962,24.602,9.22,21.108,10.062,32.535,,22.147,13.238,60.208
14.142,19.647,22.771,8.233,52.631,37.363,,23.308,7.159,11.045
22.204,15.953,14,18.868,29.602,26.315,,28.377,39.715,75.213
37.336,26.173,22.55,13.671,35.627,26.5,,28.147,24.021,17.029
36.688,11.543,28.284,22.423,31.78,11.413,,19.925,28.935,15
35.014,25.544,8.139,22.281,26.632,25.505,,12.54,16.155,
41.183,17.72,34.713,34.163,28.57,47.17,,38.539,33.242,
14.422,6.325,22.638,12.338,31.385,19.5,,20.396,8.062,
41.485,11.543,31.89,13.072,40.305,41.34,,17.5,12.093,
36.125,12.51,20.887,10.63,18.028,13.793,,33.615,12.042,
26.401,19.32,50.767,21.375,30.008,87.174,,20.815,34.828,
12.649,15.508,34.366,20.507,34.792,49.571,,19.812,30.203,
13.342,12.51,30.017,43.863,43.235,25.179,,24.382,15.692,
21.633,13.2,31.197,28.412,46.503,28.04,,29.347,25.894,
49,24.331,21.662,18.49,26.5,18.5,,34.125,29.808,
14.318,9.605,25.179,29.273,31,27.354,,16.763,11.402,
14,43.186,29.887,20.025,13.038,46.043,,35.784,19.449,
38.053,30.696,13.509,25.495,25.08,22,,12,13.124,
30.414,13.435,23.648,23.575,55.61,21.506,,11.885,17.5,
21.401,10.124,29.21,7,26.043,18.5,,38.2,18.125,
13,33,35.672,13.437,41.931,29.5,,43.081,9.179,
17.464,29.808,39.205,14.395,15,8,,31.82,32.257,
29,10.92,23.5,14.682,33.593,35.598,,30.516,23.087,
32.558,22.327,24.5,20.431,16.621,43.105,,28.714,39.118,
23.77,39.195,52.369,11,6,19.558,,24.13,11.511,
25.08,38.939,22.5,21.975,32.573,28.862,,35.288,23,
25,23.5,28.399,13.283,39.131,41.512,,16.031,24.021,
33.615,23.537,35.795,24.777,43.012,32.319,,46.768,22.277,
72.367,11.885,25.125,20.248,32.5,20,,43.061,13.038,
47.802,11.673,41.503,26.342,20.18,27.336,,28.04,6.671,
23.022,22.023,24,6.708,11.314,31.145,,39.446,6.964,
29.275,24.602,27.681,11.338,49.681,38.552,,35.725,22.506,
16,10.512,24.739,12.776,30.22,32.561,,19.144,5.5,
25.495,9.657,16.008,18.693,13.757,18.608,,27.722,9.22,
49.041,9.014,12.042,8.413,15.297,46.747,,20.5,19.679,
25.554,12.207,18.173,10.176,23.77,14.142,,15.811,26.12,
14.56,20.616,17.614,30.017,37.716,12.816,,36.912,8.322,
18.028,10,31.753,9.894,15.572,16.919,,42.24,15.572,
22.136,8.559,8.062,20.138,16.286,26.538,,35.924,9.014,
31.016,20.616,53.949,21.731,26.005,39.386,,24,49.003,
43.174,23.087,37.483,24.687,14.866,20,,31.197,11.885,
33.242,10.548,24.5,28.351,18.385,26.879,,24.829,7.762,
38.471,16,44.23,21.69,23.087,34.205,,28.111,11.236,
18.601,12.042,15.66,16.67,15.403,16.008,,14.705,12.042,
60.745,6.021,11.314,29.069,36.09,46.309,,18.507,12.021,
22.825,20.156,45.26,23.795,25.303,17.393,,25.125,14,
44.102,15.182,21.225,17.337,32.638,17.493,,34.355,22.984,
44.272,21.36,31.643,33.667,34.5,21.966,,27.613,10.7,
20.616,12.379,19.609,21.082,26.043,13.342,,18.974,7.649,
26.571,29.904,13.509,32.431,33.534,14.089,,8,6.5,
31.241,22.461,28.425,16.974,12.369,19.647,,25.348,9.22,
30.067,25.831,40.401,19.012,25.02,23.77,,16.279,11.336,
31.016,26.077,45.1,12.548,20.94,23.585,,38.917,6.364,
27.074,27.102,13.601,17.601,16.008,28.04,,19.704,9.192,
17.117,14.327,27.322,30.159,86.783,34.514,,49.155,16.286,
14.213,8,14.036,13.703,45.5,29.568,,31.064,12.5,
11.402,21.523,31.579,22.003,42.512,12,,19.609,14,
14.866,20.224,19.5,16.306,24.331,30.414,,26.306,10.012,
